"c","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.62393,1,0,0,50,0
0.62412,1,0.1,0.1,50,0
0.62431,1,0.2,0.2,50,0
0.62449,1,0.3,0.3,50,0
0.62468,1,0.4,0.4,50,0
0.62487,1,0.5,0.5,50,0
0.62506,1,0.6,0.6,50,0
0.62524,1,0.7,0.7,50,0
0.62543,1,0.8,0.8,50,0
0.62562,1,0.9,0.9,50,0
0.62581,1,1,1,50,0
0.62631,1,1.1,1.1,50,0
0.62682,1,1.2,1.2,50,0
0.62732,1,1.3,1.3,50,0
0.62783,1,1.4,1.4,50,0
0.62833,1,1.5,1.5,50,0
0.62883,1,1.6,1.6,50,0
0.62934,1,1.7,1.7,50,0
0.62984,1,1.8,1.8,50,0
0.63035,1,1.9,1.9,50,0
0.63085,1,2,2,50,0
0.63151,1,2.1,2.1,50,0
0.63217,1,2.2,2.2,50,0
0.63283,1,2.3,2.3,50,0
0.63349,1,2.4,2.4,50,0
0.63415,1,2.5,2.5,50,0
0.63481,1,2.6,2.6,50,0
0.63547,1,2.7,2.7,50,0
0.63613,1,2.8,2.8,50,0
0.63679,1,2.9,2.9,50,0
0.63746,1,3,3,50,0
0.63804,1,3.1,3.1,50,0
0.63861,1,3.2,3.2,50,0
0.63919,1,3.3,3.3,50,0
0.63977,1,3.4,3.4,50,0
0.64035,1,3.5,3.5,50,0
0.64093,1,3.6,3.6,50,0
0.64151,1,3.7,3.7,50,0
0.64209,1,3.8,3.8,50,0
0.64267,1,3.9,3.9,50,0
0.64325,1,4,4,50,0
0.64345,1,4.1,4.1,50,0
0.64365,1,4.2,4.2,50,0
0.64385,1,4.3,4.3,50,0
0.64405,1,4.4,4.4,50,0
0.64425,1,4.5,4.5,50,0
0.64445,1,4.6,4.6,50,0
0.64465,1,4.7,4.7,50,0
0.64485,1,4.8,4.8,50,0
0.64505,1,4.9,4.9,50,0
0.64525,1,5,5,50,0
0.64468,1,5.1,5.1,50,0
0.6441,1,5.2,5.2,50,0
0.64352,1,5.3,5.3,50,0
0.64294,1,5.4,5.4,50,0
0.64236,1,5.5,5.5,50,0
0.64178,1,5.6,5.6,50,0
0.6412,1,5.7,5.7,50,0
0.64062,1,5.8,5.8,50,0
0.64004,1,5.9,5.9,50,0
0.63947,1,6,6,50,0
0.63756,1,6.1,6.1,50,0
0.63565,1,6.2,6.2,50,0
0.63375,1,6.3,6.3,50,0
0.63184,1,6.4,6.4,50,0
0.62994,1,6.5,6.5,50,0
0.62803,1,6.6,6.6,50,0
0.62613,1,6.7,6.7,50,0
0.62422,1,6.8,6.8,50,0
0.62232,1,6.9,6.9,50,0
0.62041,1,7,7,50,0
0.6166,1,7.1,7.1,50,0
0.61279,1,7.2,7.2,50,0
0.60898,1,7.3,7.3,50,0
0.60517,1,7.4,7.4,50,0
0.60136,1,7.5,7.5,50,0
0.59755,1,7.6,7.6,50,0
0.59374,1,7.7,7.7,50,0
0.58993,1,7.8,7.8,50,0
0.58612,1,7.9,7.9,50,0
0.58231,1,8,8,50,0
0.57654,1,8.1,8.1,50,0
0.57077,1,8.2,8.2,50,0
0.565,1,8.3,8.3,50,0
0.55922,1,8.4,8.4,50,0
0.55345,1,8.5,8.5,50,0
0.54768,1,8.6,8.6,50,0
0.54191,1,8.7,8.7,50,0
0.53614,1,8.8,8.8,50,0
0.53037,1,8.9,8.9,50,0
0.5246,1,9,9,50,0
0.51798,1,9.1,9.1,50,0
0.51135,1,9.2,9.2,50,0
0.50472,1,9.3,9.3,50,0
0.4981,1,9.4,9.4,50,0
0.49147,1,9.5,9.5,50,0
0.48484,1,9.6,9.6,50,0
0.47822,1,9.7,9.7,50,0
0.47159,1,9.8,9.8,50,0
0.46496,1,9.9,9.9,50,0
0.45834,1,10,10,50,0
0.45259,1,10.1,10.1,50,0
0.44685,1,10.2,10.2,50,0
0.4411,1,10.3,10.3,50,0
0.43535,1,10.4,10.4,50,0
0.42961,1,10.5,10.5,50,0
0.42386,1,10.6,10.6,50,0
0.41812,1,10.7,10.7,50,0
0.41237,1,10.8,10.8,50,0
0.40663,1,10.9,10.9,50,0
0.40088,1,11,11,50,0
0.39697,1,11.1,11.1,50,0
0.39307,1,11.2,11.2,50,0
0.38916,1,11.3,11.3,50,0
0.38526,1,11.4,11.4,50,0
0.38135,1,11.5,11.5,50,0
0.37744,1,11.6,11.6,50,0
0.37354,1,11.7,11.7,50,0
0.36963,1,11.8,11.8,50,0
0.36572,1,11.9,11.9,50,0
0.36182,1,12,12,50,0
0.35961,1,12.1,12.1,50,0
0.3574,1,12.2,12.2,50,0
0.35519,1,12.3,12.3,50,0
0.35298,1,12.4,12.4,50,0
0.35077,1,12.5,12.5,50,0
0.34857,1,12.6,12.6,50,0
0.34636,1,12.7,12.7,50,0
0.34415,1,12.8,12.8,50,0
0.34194,1,12.9,12.9,50,0
0.33973,1,13,13,50,0
0.33868,1,13.1,13.1,50,0
0.33762,1,13.2,13.2,50,0
0.33657,1,13.3,13.3,50,0
0.33552,1,13.4,13.4,50,0
0.33446,1,13.5,13.5,50,0
0.33341,1,13.6,13.6,50,0
0.33236,1,13.7,13.7,50,0
0.3313,1,13.8,13.8,50,0
0.33025,1,13.9,13.9,50,0
0.3292,1,14,14,50,0
0.32887,1,14.1,14.1,50,0
0.32855,1,14.2,14.2,50,0
0.32823,1,14.3,14.3,50,0
0.32791,1,14.4,14.4,50,0
0.32759,1,14.5,14.5,50,0
0.32726,1,14.6,14.6,50,0
0.32694,1,14.7,14.7,50,0
0.32662,1,14.8,14.8,50,0
0.3263,1,14.9,14.9,50,0
0.32598,1,15,15,50,0
0.3262,1,15.1,15.1,50,0
