"c","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.67492,1,0,0,50,0
0.67495,1,0.1,0.1,50,0
0.67498,1,0.2,0.2,50,0
0.67501,1,0.3,0.3,50,0
0.67504,1,0.4,0.4,50,0
0.67507,1,0.5,0.5,50,0
0.67509,1,0.6,0.6,50,0
0.67512,1,0.7,0.7,50,0
0.67515,1,0.8,0.8,50,0
0.67518,1,0.9,0.9,50,0
0.67521,1,1,1,50,0
0.67529,1,1.1,1.1,50,0
0.67537,1,1.2,1.2,50,0
0.67544,1,1.3,1.3,50,0
0.67552,1,1.4,1.4,50,0
0.6756,1,1.5,1.5,50,0
0.67568,1,1.6,1.6,50,0
0.67575,1,1.7,1.7,50,0
0.67583,1,1.8,1.8,50,0
0.67591,1,1.9,1.9,50,0
0.67599,1,2,2,50,0
0.67609,1,2.1,2.1,50,0
0.67619,1,2.2,2.2,50,0
0.6763,1,2.3,2.3,50,0
0.6764,1,2.4,2.4,50,0
0.6765,1,2.5,2.5,50,0
0.6766,1,2.6,2.6,50,0
0.67671,1,2.7,2.7,50,0
0.67681,1,2.8,2.8,50,0
0.67691,1,2.9,2.9,50,0
0.67701,1,3,3,50,0
0.6771,1,3.1,3.1,50,0
0.67719,1,3.2,3.2,50,0
0.67728,1,3.3,3.3,50,0
0.67737,1,3.4,3.4,50,0
0.67746,1,3.5,3.5,50,0
0.67755,1,3.6,3.6,50,0
0.67764,1,3.7,3.7,50,0
0.67773,1,3.8,3.8,50,0
0.67782,1,3.9,3.9,50,0
0.67791,1,4,4,50,0
0.67793,1,4.1,4.1,50,0
0.67796,1,4.2,4.2,50,0
0.67798,1,4.3,4.3,50,0
0.67801,1,4.4,4.4,50,0
0.67803,1,4.5,4.5,50,0
0.67806,1,4.6,4.6,50,0
0.67808,1,4.7,4.7,50,0
0.67811,1,4.8,4.8,50,0
0.67814,1,4.9,4.9,50,0
0.67816,1,5,5,50,0
0.67806,1,5.1,5.1,50,0
0.67795,1,5.2,5.2,50,0
